Pathogen,Temp water,Conductivity,pH,Turbidity
0,24.82,70,8.77,7.65
0,23.32,8.1,7.11,9.47
0,23.14,96.1,8.31,8.24
0,25.8,26.3,7.65,11.67
0,23.07,7.9,7.36,15.92
0,15.79,11.6,7.38,21.03
0,21.25,59.8,8.28,9.63
0,26.02,11.6,7.11,13.82
0,21.68,85.1,8.48,7.31
0,21.95,86.8,8.64,7.29
0,22.64,101.2,9.03,5.81
1,23.29,196.2,8.87,48.15
1,22.73,121.8,7.84,38.97
1,25.8,116.9,7.15,42.35
0,21.57,50.8,8.29,14.72
1,23.56,104.7,7.36,40.95
0,22.55,41.6,8.13,8.47
1,25.45,105.2,7.46,72.35
0,25.05,55.3,8.36,8.66
1,24.75,111.6,7.25,39.4
0,23.27,44.26,9.06,25.7
1,24.02,115.48,7.36,63.66
0,24.67,56.57,8.73,25.88
1,23.91,112.04,7.41,50.59
0,22.76,83.45,8.83,29.58
1,23.31,131.04,7.78,54.42
0,25.83,51.45,8.02,24.9
1,24.93,119.68,7.84,51.54
0,24.61,82.6,8.53,2.97
1,24.62,101.53,7.63,49.15
0,24.5,59.31,8.94,16.73
1,24.4,101.52,7.05,51.99
0,23.19,91.57,8.6,23.15
1,23.5,115.81,7.16,41.96
0,22.61,74.37,8.05,13.05
1,22.27,111.77,7.91,40.81
0,21.58,76.92,8.04,18.39
1,21.97,105.09,7.33,17.92
0,24.78,75.15,8.18,10.11
1,25.06,117.15,7.06,31.22
